srcNode	destNode	hopSource	hopDest	msgLabel	timestamp	hopCount	startTime	endTime	travelTime
14	4	14	6	0	1	0	1	0	0
14	4	14	1	0	2	1	1	0	0
14	4	6	2	0	3	2	1	0	0
14	4	1	4	0	3	3	1	0	0
14	4	2	4	0	3	4	1	3	2
14	4	4	4	0	4	5	1	4	3
14	4	4	4	0	5	6	1	5	4
14	4	4	4	0	7	7	1	7	6
14	4	4	4	0	9	8	1	9	8
14	4	4	4	0	11	9	1	11	10
14	4	4	4	0	13	10	1	13	12
14	4	4	4	0	15	11	1	15	14
14	4	4	4	0	17	12	1	17	16
14	4	4	4	0	20	13	1	20	19
14	4	4	4	0	23	14	1	23	22
14	4	4	4	0	27	15	1	27	26
14	4	4	4	0	32	16	1	32	31
9	3	9	1	1	2	0	2	0	0
9	3	9	3	1	4	1	2	0	0
9	3	1	3	1	4	2	2	4	2
9	3	3	3	1	5	3	2	5	3
9	3	3	3	1	6	4	2	6	4
9	3	3	3	1	7	5	2	7	5
9	3	3	3	1	8	6	2	8	6
9	3	3	3	1	9	7	2	9	7
9	3	3	3	1	10	8	2	10	8
9	3	3	3	1	11	9	2	11	9
9	3	3	3	1	14	10	2	14	12
9	3	3	3	1	18	11	2	18	16
9	3	3	3	1	22	12	2	22	20
9	3	3	3	1	25	13	2	25	23
9	3	3	3	1	28	14	2	28	26
9	3	3	3	1	31	15	2	31	29
9	3	3	3	1	35	16	2	35	33
6	4	6	1	2	3	0	3	0	0
6	4	6	2	2	5	1	3	0	0
6	4	1	4	2	5	2	3	0	0
6	4	2	4	2	6	3	3	6	3
6	4	4	4	2	8	4	3	8	5
6	4	4	4	2	10	5	3	10	7
6	4	4	4	2	12	6	3	12	9
6	4	4	4	2	14	7	3	14	11
6	4	4	4	2	16	8	3	16	13
6	4	4	4	2	19	9	3	19	16
6	4	4	4	2	22	10	3	22	19
6	4	4	4	2	26	11	3	26	23
6	4	4	4	2	30	12	3	30	27
9	2	9	1	3	4	0	4	0	0
9	2	9	2	3	6	1	4	0	0
9	2	1	2	3	6	2	4	6	2
9	2	2	2	3	7	3	4	7	3
9	2	2	2	3	9	4	4	9	5
9	2	2	2	3	10	5	4	10	6
9	2	2	2	3	13	6	4	13	9
9	2	2	2	3	17	7	4	17	13
9	2	2	2	3	22	8	4	22	18
9	2	2	2	3	31	9	4	31	27
7	1	7	2	4	6	0	6	0	0
7	1	7	1	4	8	1	6	0	0
7	1	2	1	4	9	2	6	9	3
7	1	1	1	4	10	3	6	10	4
7	1	1	1	4	11	4	6	11	5
7	1	1	1	4	12	5	6	12	6
7	1	1	1	4	14	6	6	14	8
7	1	1	1	4	17	7	6	17	11
7	1	1	1	4	20	8	6	20	14
7	1	1	1	4	23	9	6	23	17
7	1	1	1	4	26	10	6	26	20
7	1	1	1	4	32	11	6	32	26
15	2	15	7	5	8	0	8	0	0
15	2	15	2	5	9	1	8	0	0
15	2	7	2	5	11	2	8	11	3
15	2	2	2	5	14	3	8	14	6
15	2	2	2	5	18	4	8	18	10
15	2	2	2	5	24	5	8	24	16
15	2	2	2	5	32	6	8	32	24
10	2	10	2	6	9	0	9	0	0
10	2	10	2	6	12	1	9	12	3
10	2	2	2	6	15	2	9	15	6
10	2	2	2	6	20	3	9	20	11
10	2	2	2	6	26	4	9	26	17
10	2	2	2	6	35	5	9	35	26
15	3	15	7	7	9	0	9	0	0
15	3	15	3	7	10	1	9	0	0
15	3	7	3	7	12	2	9	12	3
15	3	3	3	7	15	3	9	15	6
15	3	3	3	7	19	4	9	19	10
15	3	3	3	7	23	5	9	23	14
15	3	3	3	7	26	6	9	26	17
15	3	3	3	7	29	7	9	29	20
15	3	3	3	7	32	8	9	32	23
16	3	16	8	8	9	0	9	0	0
16	3	16	3	8	10	1	9	0	0
