srcNode	destNode	hopSource	hopDest	msgLabel	timestamp	hopCount	startTime	endTime	arrival_hop	travelTime
64	4	64	48	0	1437	1	1437	0	0	0
64	4	48	46	0	1438	2	1437	0	0	0
63	2	63	47	1	1438	1	1438	0	0	0
64	4	46	45	0	1439	3	1437	0	0	0
63	2	47	45	1	1439	2	1438	0	0	0
62	1	62	46	2	1439	1	1439	0	0	0
64	4	45	46	0	1440	4	1437	0	0	0
62	1	46	45	2	1440	2	1439	0	0	0
61	3	61	45	3	1440	1	1440	0	0	0
63	2	45	46	1	1441	3	1438	0	0	0
64	4	46	45	0	1441	5	1437	0	0	0
60	2	60	44	4	1441	1	1441	0	0	0
60	2	44	45	4	1442	2	1441	0	0	0
62	1	45	46	2	1442	3	1439	0	0	0
63	2	46	45	1	1442	4	1438	0	0	0
59	3	59	43	5	1442	1	1442	0	0	0
59	3	43	27	5	1443	2	1442	0	0	0
61	3	45	46	3	1443	2	1440	0	0	0
62	1	46	45	2	1443	4	1439	0	0	0
58	1	58	42	6	1443	1	1443	0	0	0
59	3	27	11	5	1444	3	1442	0	0	0
58	1	42	26	6	1444	2	1443	0	0	0
64	4	45	46	0	1444	6	1437	0	0	0
61	3	46	45	3	1444	3	1440	0	0	0
57	1	57	41	7	1444	1	1444	0	0	0
59	3	11	3	5	1445	4	1442	0	0	0
58	1	26	10	6	1445	3	1443	0	0	0
57	1	41	25	7	1445	2	1444	0	0	0
60	2	45	46	4	1445	3	1441	0	0	0
64	4	46	45	0	1445	7	1437	0	0	0
56	1	56	47	8	1445	1	1445	0	0	0
59	3	11	-1	5	1446	4	1442	1446	1	4
59	3	3	11	5	1446	5	1442	1446	0	4
58	1	10	1	6	1446	4	1443	0	0	0
57	1	25	9	7	1446	3	1444	0	0	0
63	2	45	46	1	1446	5	1438	0	0	0
60	2	46	45	4	1446	4	1441	0	0	0
56	1	47	45	8	1446	2	1445	0	0	0
55	4	55	46	9	1446	1	1446	0	0	0
58	1	10	-1	6	1447	4	1443	1447	1	4
58	1	1	10	6	1447	5	1443	1447	0	4
57	1	9	1	7	1447	4	1444	0	0	0
59	3	11	27	5	1447	6	1442	1446	0	4
62	1	45	46	2	1447	5	1439	0	0	0
63	2	46	45	1	1447	6	1438	0	0	0
54	4	54	45	10	1447	1	1447	0	0	0
57	1	9	-1	7	1448	4	1444	1448	1	4
57	1	1	9	7	1448	5	1444	1448	0	4
58	1	10	26	6	1448	6	1443	1447	0	4
59	3	27	43	5	1448	7	1442	1446	0	4
61	3	45	46	3	1448	4	1440	0	0	0
55	4	46	45	9	1448	2	1446	0	0	0
53	2	53	45	11	1448	1	1448	0	0	0
57	1	9	25	7	1449	6	1444	1448	0	4
58	1	26	42	6	1449	7	1443	1447	0	4
59	3	43	59	5	1449	8	1442	1446	0	4
64	4	45	46	0	1449	8	1437	0	0	0
62	1	46	45	2	1449	6	1439	0	0	0
52	2	52	45	12	1449	1	1449	0	0	0
57	1	25	41	7	1450	7	1444	1448	0	4
58	1	42	58	6	1450	8	1443	1447	0	4
60	2	45	46	4	1450	5	1441	0	0	0
61	3	46	45	3	1450	5	1440	0	0	0
51	1	51	35	13	1450	1	1450	0	0	0
51	1	35	19	13	1451	2	1450	0	0	0
57	1	41	57	7	1451	8	1444	1448	0	4
56	1	45	46	8	1451	3	1445	0	0	0
64	4	46	45	0	1451	9	1437	0	0	0
50	1	50	42	14	1451	1	1451	0	0	0
51	1	19	3	13	1452	3	1450	0	0	0
50	1	42	26	14	1452	2	1451	0	0	0
63	2	45	46	1	1452	7	1438	0	0	0
60	2	46	45	4	1452	6	1441	0	0	0
49	1	49	42	15	1452	1	1452	0	0	0
51	1	3	1	13	1453	4	1450	0	0	0
50	1	26	10	14	1453	3	1451	0	0	0
49	1	42	26	15	1453	2	1452	0	0	0
54	4	45	46	10	1453	2	1447	0	0	0
56	1	46	45	8	1453	4	1445	0	0	0
48	3	48	46	16	1453	1	1453	0	0	0
51	1	3	-1	13	1454	4	1450	1454	1	4
51	1	1	3	13	1454	5	1450	1454	0	4
50	1	10	1	14	1454	4	1451	0	0	0
49	1	26	10	15	1454	3	1452	0	0	0
55	4	45	46	9	1454	3	1446	0	0	0
63	2	46	45	1	1454	8	1438	0	0	0
47	4	47	45	17	1454	1	1454	0	0	0
50	1	10	-1	14	1455	4	1451	1455	1	4
50	1	1	10	14	1455	5	1451	1455	0	4
51	1	3	19	13	1455	6	1450	1454	0	4
49	1	10	1	15	1455	4	1452	0	0	0
53	2	45	46	11	1455	2	1448	0	0	0
46	2	46	45	18	1455	1	1455	0	0	0
49	1	10	-1	15	1456	4	1452	1456	1	4
49	1	1	10	15	1456	5	1452	1456	0	4
50	1	10	26	14	1456	6	1451	1455	0	4
51	1	19	35	13	1456	7	1450	1454	0	4
45	3	45	46	19	1456	1	1456	0	0	0
54	4	46	45	10	1456	3	1447	0	0	0
49	1	10	26	15	1457	6	1452	1456	0	4
50	1	26	42	14	1457	7	1451	1455	0	4
51	1	35	51	13	1457	8	1450	1454	0	4
44	1	44	45	20	1457	1	1457	0	0	0
62	1	45	46	2	1457	7	1439	0	0	0
48	3	46	45	16	1457	2	1453	0	0	0
49	1	26	42	15	1458	7	1452	1456	0	4
50	1	42	50	14	1458	8	1451	1455	0	4
43	2	43	27	21	1458	1	1458	0	0	0
52	2	45	46	12	1458	2	1449	0	0	0
55	4	46	45	9	1458	4	1446	0	0	0
43	2	27	11	21	1459	2	1458	0	0	0
42	3	42	26	22	1459	1	1459	0	0	0
61	3	45	46	3	1459	6	1440	0	0	0
53	2	46	45	11	1459	3	1448	0	0	0
43	2	11	2	21	1460	3	1458	0	0	0
42	3	26	10	22	1460	2	1459	0	0	0
41	2	41	25	23	1460	1	1460	0	0	0
49	1	42	49	15	1460	8	1452	1456	0	4
64	4	45	46	0	1460	10	1437	0	0	0
45	3	46	45	19	1460	2	1456	0	0	0
43	2	11	-1	21	1461	3	1458	1461	1	3
43	2	2	11	21	1461	4	1458	1461	0	3
42	3	10	3	22	1461	3	1459	0	0	0
41	2	25	9	23	1461	2	1460	0	0	0
40	3	40	24	24	1461	1	1461	0	0	0
60	2	45	46	4	1461	7	1441	0	0	0
62	1	46	45	2	1461	8	1439	0	0	0
42	3	10	-1	22	1462	3	1459	1462	1	3
42	3	3	10	22	1462	4	1459	1462	0	3
41	2	9	2	23	1462	3	1460	0	0	0
43	2	11	27	21	1462	5	1458	1461	0	3
40	3	24	8	24	1462	2	1461	0	0	0
39	2	39	23	25	1462	1	1462	0	0	0
56	1	45	46	8	1462	5	1445	0	0	0
52	2	46	45	12	1462	3	1449	0	0	0
41	2	9	-1	23	1463	3	1460	1463	1	3
41	2	2	9	23	1463	4	1460	1463	0	3
40	3	8	6	24	1463	3	1461	0	0	0
42	3	10	26	22	1463	5	1459	1462	0	3
39	2	23	7	25	1463	2	1462	0	0	0
43	2	27	43	21	1463	6	1458	1461	0	3
38	2	38	22	26	1463	1	1463	0	0	0
63	2	45	46	1	1463	9	1438	0	0	0
61	3	46	45	3	1463	7	1440	0	0	0
40	3	6	4	24	1464	4	1461	0	0	0
39	2	7	5	25	1464	3	1462	0	0	0
41	2	9	25	23	1464	5	1460	1463	0	3
38	2	22	6	26	1464	2	1463	0	0	0
42	3	26	42	22	1464	6	1459	1462	0	3
37	1	37	21	27	1464	1	1464	0	0	0
47	4	45	46	17	1464	2	1454	0	0	0
64	4	46	45	0	1464	11	1437	0	0	0
40	3	4	3	24	1465	5	1461	0	0	0
39	2	5	3	25	1465	4	1462	0	0	0
38	2	6	4	26	1465	3	1463	0	0	0
37	1	21	5	27	1465	2	1464	0	0	0
41	2	25	41	23	1465	6	1460	1463	0	3
36	4	36	27	28	1465	1	1465	0	0	0
46	2	45	46	18	1465	2	1455	0	0	0
60	2	46	45	4	1465	8	1441	0	0	0
40	3	4	-1	24	1466	5	1461	1466	1	5
40	3	3	4	24	1466	6	1461	1466	0	5
38	2	4	2	26	1466	4	1463	0	0	0
37	1	5	3	27	1466	3	1464	0	0	0
36	4	27	11	28	1466	2	1465	0	0	0
35	3	35	19	29	1466	1	1466	0	0	0
54	4	45	46	10	1466	4	1447	0	0	0
56	1	46	45	8	1466	6	1445	0	0	0
38	2	4	-1	26	1467	4	1463	1467	1	4
38	2	2	4	26	1467	5	1463	1467	0	4
39	2	3	2	25	1467	5	1462	0	0	0
40	3	4	6	24	1467	7	1461	1466	0	5
36	4	11	4	28	1467	3	1465	0	0	0
35	3	19	3	29	1467	2	1466	0	0	0
34	1	34	18	30	1467	1	1467	0	0	0
44	1	45	46	20	1467	2	1457	0	0	0
63	2	46	45	1	1467	10	1438	0	0	0
39	2	3	-1	25	1468	5	1462	1468	1	6
39	2	2	3	25	1468	6	1462	1468	0	6
37	1	3	1	27	1468	4	1464	0	0	0
38	2	4	6	26	1468	6	1463	1467	0	4
40	3	6	8	24	1468	8	1461	1466	0	5
34	1	18	2	30	1468	2	1467	0	0	0
33	2	33	17	31	1468	1	1468	0	0	0
48	3	45	46	16	1468	3	1453	0	0	0
47	4	46	45	17	1468	3	1454	0	0	0
37	1	3	-1	27	1469	4	1464	1469	1	5
37	1	1	3	27	1469	5	1464	1469	0	5
34	1	2	1	30	1469	3	1467	0	0	0
35	3	19	-1	29	1469	2	1466	1469	1	3
35	3	3	19	29	1469	3	1466	1469	0	3
36	4	11	-1	28	1469	3	1465	1469	1	4
36	4	4	11	28	1469	4	1465	1469	0	4
38	2	6	22	26	1469	7	1463	1467	0	4
40	3	8	24	24	1469	9	1461	1466	0	5
33	2	17	1	31	1469	2	1468	0	0	0
32	3	32	16	32	1469	1	1469	0	0	0
