srcNode	destNode	hopSource	hopDest	msgLabel	timestamp	hopCount	startTime	endTime	travelTime
1	-1	1	-1	0	0	1	0	0	0
2	-1	2	-1	1	0	1	0	0	0
3	-1	3	-1	2	0	1	0	0	0
4	-1	4	-1	3	0	1	0	0	0
5	-1	5	-1	4	0	1	0	0	0
6	-1	6	-1	5	0	1	0	0	0
7	-1	7	-1	6	0	1	0	0	0
8	-1	8	-1	7	0	1	0	0	0
9	-1	9	-1	8	0	1	0	0	0
10	-1	10	-1	9	0	1	0	0	0
11	-1	11	-1	10	0	1	0	0	0
12	-1	12	-1	11	0	1	0	0	0
13	-1	13	-1	12	0	1	0	0	0
14	-1	14	-1	13	0	1	0	0	0
15	-1	15	-1	14	0	1	0	0	0
16	-1	16	-1	15	0	1	0	0	0
17	-1	17	-1	16	0	1	0	0	0
18	-1	18	-1	17	0	1	0	0	0
19	-1	19	-1	18	0	1	0	0	0
20	-1	20	-1	19	0	1	0	0	0
21	-1	21	-1	20	0	1	0	0	0
22	-1	22	-1	21	0	1	0	0	0
23	-1	23	-1	22	0	1	0	0	0
24	-1	24	-1	23	0	1	0	0	0
25	-1	25	-1	24	0	1	0	0	0
26	-1	26	-1	25	0	1	0	0	0
27	-1	27	-1	26	0	1	0	0	0
28	-1	28	-1	27	0	1	0	0	0
29	-1	29	-1	28	0	1	0	0	0
30	-1	30	-1	29	0	1	0	0	0
31	-1	31	-1	30	0	1	0	0	0
32	-1	32	-1	31	0	1	0	0	0
33	-1	33	-1	32	0	1	0	0	0
34	-1	34	-1	33	0	1	0	0	0
35	-1	35	-1	34	0	1	0	0	0
36	-1	36	-1	35	0	1	0	0	0
37	-1	37	-1	36	0	1	0	0	0
38	-1	38	-1	37	0	1	0	0	0
39	-1	39	-1	38	0	1	0	0	0
40	-1	40	-1	39	0	1	0	0	0
41	-1	41	-1	40	0	1	0	0	0
42	-1	42	-1	41	0	1	0	0	0
43	-1	43	-1	42	0	1	0	0	0
44	-1	44	-1	43	0	1	0	0	0
45	-1	45	-1	44	0	1	0	0	0
46	-1	46	-1	45	0	1	0	0	0
47	-1	47	-1	46	0	1	0	0	0
48	-1	48	-1	47	0	1	0	0	0
49	-1	49	-1	48	0	1	0	0	0
50	-1	50	-1	49	0	1	0	0	0
51	-1	51	-1	50	0	1	0	0	0
52	-1	52	-1	51	0	1	0	0	0
53	-1	53	-1	52	0	1	0	0	0
54	-1	54	-1	53	0	1	0	0	0
55	-1	55	-1	54	0	1	0	0	0
56	-1	56	-1	55	0	1	0	0	0
57	-1	57	-1	56	0	1	0	0	0
58	-1	58	-1	57	0	1	0	0	0
59	-1	59	-1	58	0	1	0	0	0
60	-1	60	-1	59	0	1	0	0	0
61	-1	61	-1	60	0	1	0	0	0
62	-1	62	-1	61	0	1	0	0	0
63	-1	63	-1	62	0	1	0	0	0
64	-1	64	-1	63	0	1	0	0	0
64	4	64	57	64	137	1	137	0	0
64	4	57	63	64	138	2	137	0	0
63	2	63	56	65	138	1	138	0	0
63	2	56	62	65	139	2	138	0	0
62	1	62	55	66	139	1	139	0	0
64	4	63	56	64	139	3	137	0	0
62	1	55	40	66	140	2	139	0	0
64	4	56	58	64	140	4	137	0	0
61	3	61	48	67	140	1	140	0	0
63	2	62	48	65	140	3	138	0	0
62	1	40	61	66	141	3	139	0	0
61	3	48	58	67	141	2	140	0	0
64	4	58	62	64	141	5	137	0	0
60	2	60	47	68	141	1	141	0	0
60	2	47	57	68	142	2	141	0	0
63	2	48	55	65	142	4	138	0	0
61	3	58	59	67	142	3	140	0	0
59	3	59	60	69	142	1	142	0	0
62	1	61	47	66	142	4	139	0	0
64	4	62	59	64	142	6	137	0	0
62	1	47	54	66	143	5	139	0	0
63	2	55	61	65	143	5	138	0	0
60	2	57	58	68	143	3	141	0	0
58	1	58	31	70	143	1	143	0	0
61	3	59	60	67	143	4	140	0	0
59	3	60	54	69	143	2	142	0	0
58	1	31	52	70	144	2	143	0	0
62	1	54	32	66	144	6	139	0	0
57	1	57	58	71	144	1	144	0	0
60	2	58	59	68	144	4	141	0	0
64	4	59	60	64	144	7	137	0	0
61	3	60	54	67	144	5	140	0	0
63	2	61	40	65	144	6	138	0	0
62	1	32	60	66	145	7	139	0	0
63	2	40	54	65	145	7	138	0	0
58	1	52	38	70	145	3	143	0	0
59	3	54	40	69	145	3	142	0	0
56	1	56	63	72	145	1	145	0	0
57	1	58	31	71	145	2	144	0	0
60	2	59	32	68	145	5	141	0	0
64	4	60	61	64	145	8	137	0	0
