destNode	(Multiple Items)					
						
Row Labels	Max of travelTime				Start Time	Travel Time
1137	1893				1137	1893
1138	3682				1138	3682
1139	2606				1139	2606
1140	1767				1140	1767
1141	1517				1141	1517
1142	1957				1142	1957
1143	290				1143	290
1144	1121				1144	1121
1145	0				1145	0
1146	3348				1146	3348
1147	2195				1147	2195
1148	3230				1148	3230
1149	2141				1149	2141
1150	1371				1150	1371
1151	1314				1151	1314
1152	601				1152	601
1153	2636				1153	2636
1154	1684				1154	1684
1155	3799				1155	3799
1156	2079				1156	2079
1157	1628				1157	1628
1158	796				1158	796
1159	787				1159	787
1160	346				1160	346
1161	2188				1161	2188
1162	2825				1162	2825
1163	1175				1163	1175
1164	1095				1164	1095
1165	23				1165	23
1166	21				1166	21
1167	82				1167	82
1168	193				1168	193
1169	2443				1169	2443
1170	2184				1170	2184
1171	258				1171	258
1172	504				1172	504
1173	438				1173	438
1174	308				1174	308
1175	59				1175	59
1176	121				1176	121
1177	2107				1177	2107
1178	2033				1178	2033
1179	1647				1179	1647
1180	185				1180	185
1181	247				1181	247
1182	1				1182	1
1183	115				1183	115
1184	113				1184	113
1185	1196				1185	1196
1186	1130				1186	1130
1187	306				1187	306
1188	304				1188	304
1189	238				1189	238
1190	1				1190	1
1191	1				1191	1
1192	1				1192	1
1193	1643				1193	1643
1194	1193				1194	1193
1195	743				1195	743
1196	295				1196	295
1237	3721				1237	3721
1238	3668				1238	3668
1239	2450				1239	2450
1240	3483				1240	3483
1241	2368				1241	2368
1242	2449				1242	2449
1243	1110				1243	1110
1244	981				1244	981
1245	0				1245	0
1246	2816				1246	2816
1247	1357				1247	1357
1248	2706				1248	2706
1249	1361				1249	1361
1250	783				1250	783
1251	526				1251	526
1252	269				1252	269
1253	2560				1253	2560
1254	3399				1254	3399
1255	1460				1255	1460
1256	1340				1256	1340
1257	1025				1257	1025
1258	193				1258	193
1259	63				1259	63
1260	61				1260	61
1261	1592				1261	1592
1262	3182				1262	3182
1263	1915				1263	1915
1264	1273				1264	1273
1265	59				1265	59
1266	185				1266	185
1267	374				1267	374
1268	421				1268	421
1269	3120				1269	3120
1270	2598				1270	2598
1271	949				1271	949
1272	876				1272	876
1273	696				1273	696
1274	431				1274	431
1275	111				1275	111
1276	109				1276	109
1277	2279				1277	2279
1278	1829				1278	1829
1279	1251				1279	1251
1280	101				1280	101
1281	35				1281	35
1282	1				1282	1
1283	31				1283	31
1284	29				1284	29
1285	928				1285	928
1286	670				1286	670
1287	158				1287	158
1288	92				1288	92
1289	26				1289	26
1290	1				1290	1
1291	1				1291	1
1292	1				1292	1
1293	1047				1293	1047
1294	982				1294	982
1295	595				1295	595
1296	83				1296	83
1337	3133				1337	3133
1338	3592				1338	3592
1339	2822				1339	2822
1340	2943				1340	2943
1341	2181				1341	2181
1342	1661				1342	1661
1343	1026				1343	1026
1344	897				1344	897
1345	0				1345	0
1346	2420				1346	2420
1347	1203				1347	1203
1348	2479				1348	2479
1349	509				1349	509
1350	251				1350	251
1351	186				1351	186
1352	241				1352	241
1353	2468				1353	2468
1354	1572				1354	1572
1355	1257				1355	1257
1356	2031				1356	2031
1357	1452				1357	1452
1358	940				1358	940
1359	931				1359	931
1360	553				1360	553
1361	3292				1361	3292
1362	0				1362	0
1363	2351				1363	2351
1364	1965				1364	1965
1365	111				1365	111
1366	109				1366	109
1367	426				1367	426
1368	281				1368	281
1369	1948				1369	1948
1370	2010				1370	2010
1371	794				1371	794
1372	408				1372	408
1373	342				1373	342
1374	155				1374	155
1375	27				1375	27
1376	25				1376	25
1377	1555				1377	1555
1378	1297				1378	1297
1379	975				1379	975
1380	18				1380	18
1381	15				1381	15
1382	1				1382	1
1383	11				1383	11
1384	65				1384	65
1385	1228				1385	1228
1386	714				1386	714
1387	131				1387	131
1388	128				1388	128
1389	62				1389	62
1390	1				1390	1
1391	1				1391	1
1392	1				1392	1
1393	1403				1393	1403
1394	1273				1394	1273
1395	887				1395	887
1396	311				1396	311
1437	2409				1437	2409
1438	3444				1438	3444
1439	2730				1439	2730
1440	1587				1440	1587
1441	1265				1441	1265
1442	1705				1442	1705
1443	294				1443	294
1444	933				1444	933
1445	0				1445	0
1446	2272				1446	2272
1447	2583				1447	2583
1448	2474				1448	2474
1449	1761				1449	1761
1450	1383				1450	1383
1451	1190				1451	1190
1452	613				1452	613
1453	3472				1453	3472
1454	1744				1454	1744
1455	0				1455	0
1456	2147				1456	2147
1457	1432				1457	1432
1458	736				1458	736
1459	846				1459	846
1460	469				1460	469
1461	2896				1461	2896
1462	2702				1462	2702
1463	1179				1463	1179
1464	1035				1464	1035
1465	27				1465	27
1466	26				1466	26
1467	86				1467	86
1468	205				1468	205
1469	1352				1469	1352
1470	0				1470	0
1471	262				1471	262
1472	197				1472	197
1473	194				1473	194
1474	248				1474	248
1475	127				1475	127
1476	61				1476	61
1477	1975				1477	1975
1478	1853				1478	1853
1479	1595				1479	1595
1480	188				1480	188
1481	59				1481	59
1482	2				1482	2
1483	119				1483	119
1484	181				1484	181
1485	1072				1485	1072
1486	1262				1486	1262
1487	366				1487	366
1488	308				1488	308
1489	242				1489	242
1490	1				1490	1
1491	1				1491	1
1492	1				1492	1
1493	1711				1493	1711
1494	1197				1494	1197
1495	875				1495	875
1496	299				1496	299
1705	0				1705	0
1706	0				1706	0
1707	0				1707	0
1713	0				1713	0
1714	0				1714	0
1715	0				1715	0
1721	0				1721	0
1722	0				1722	0
1723	1345				1723	1345
1755	0				1755	0
1756	0				1756	0
1757	0				1757	0
1763	0				1763	0
1764	0				1764	0
1765	0				1765	0
1771	0				1771	0
1772	0				1772	0
1773	1575				1773	1575
1830	0				1830	0
1831	0				1831	0
1832	0				1832	0
1838	0				1838	0
1839	0				1839	0
1840	0				1840	0
1846	3143				1846	3143
1847	0				1847	0
1848	1228				1848	1228
1905	0				1905	0
1906	0				1906	0
1907	0				1907	0
1913	0				1913	0
1914	0				1914	0
1915	0				1915	0
1921	0				1921	0
1922	0				1922	0
1923	1825				1923	1825
2055	0				2055	0
2056	0				2056	0
2057	0				2057	0
2063	0				2063	0
2064	0				2064	0
2065	0				2065	0
2071	0				2071	0
2072	0				2072	0
2073	0				2073	0
2205	0				2205	0
2206	0				2206	0
2207	0				2207	0
2213	0				2213	0
2214	0				2214	0
2215	0				2215	0
2221	0				2221	0
2222	0				2222	0
2223	0				2223	0
2230	0				2230	0
2231	0				2231	0
2232	0				2232	0
2238	0				2238	0
2239	0				2239	0
2240	0				2240	0
2246	0				2246	0
2247	0				2247	0
2248	0				2248	0
2337	0				2337	0
2338	0				2338	0
2339	0				2339	0
2340	0				2340	0
2341	0				2341	0
2342	0				2342	0
2343	0				2343	0
2344	0				2344	0
2345	0				2345	0
2346	0				2346	0
2347	0				2347	0
2348	0				2348	0
2349	0				2349	0
2350	0				2350	0
2351	0				2351	0
2352	0				2352	0
2353	0				2353	0
2354	0				2354	0
2355	0				2355	0
2356	0				2356	0
2357	0				2357	0
2358	0				2358	0
2359	0				2359	0
2360	0				2360	0
2361	0				2361	0
2362	0				2362	0
2363	0				2363	0
2364	0				2364	0
2365	2463				2365	2463
2366	0				2366	0
2367	0				2367	0
2368	2449				2368	2449
2369	0				2369	0
2370	0				2370	0
2371	0				2371	0
2372	1945				2372	1945
2373	2135				2373	2135
2374	0				2374	0
2375	1675				2375	1675
2376	0				2376	0
2377	0				2377	0
2378	0				2378	0
2379	0				2379	0
2380	0				2380	0
2381	1805				2381	1805
2382	1405				2382	1405
2383	963				2383	963
2384	633				2384	633
2385	0				2385	0
2386	0				2386	0
2387	1922				2387	1922
2388	1721				2388	1721
2389	1470				2389	1470
2390	1				2390	1
2391	947				2391	947
2392	689				2392	689
2393	0				2393	0
2394	2043				2394	2043
2395	1977				2395	1977
2396	1583				2396	1583
2405	0				2405	0
2406	0				2406	0
2407	0				2407	0
2413	0				2413	0
2414	0				2414	0
2415	0				2415	0
2421	0				2421	0
2422	0				2422	0
2423	0				2423	0
2537	0				2537	0
2538	0				2538	0
2539	0				2539	0
2540	0				2540	0
2541	0				2541	0
2542	0				2542	0
2543	0				2543	0
2544	0				2544	0
2545	0				2545	0
2546	0				2546	0
2547	0				2547	0
2548	0				2548	0
2549	0				2549	0
2550	0				2550	0
2551	0				2551	0
2552	0				2552	0
2553	0				2553	0
2554	0				2554	0
2555	0				2555	0
2556	0				2556	0
2557	0				2557	0
2558	0				2558	0
2559	0				2559	0
2560	0				2560	0
2561	0				2561	0
2562	0				2562	0
2563	0				2563	0
2564	0				2564	0
2565	0				2565	0
2566	0				2566	0
2567	0				2567	0
2568	2393				2568	2393
2569	0				2569	0
2570	0				2570	0
2571	0				2571	0
2572	2145				2572	2145
2573	2271				2573	2271
2574	0				2574	0
2575	1747				2575	1747
2576	0				2576	0
2577	0				2577	0
2578	0				2578	0
2579	0				2579	0
2580	0				2580	0
2581	1941				2581	1941
2582	1357				2582	1357
2583	1163				2583	1163
2584	641				2584	641
2585	0				2585	0
2586	0				2586	0
2587	1994				2587	1994
2588	1				2588	1
2589	1470				2589	1470
2590	1				2590	1
2591	1147				2591	1147
2592	697				2592	697
2593	0				2593	0
2594	2051				2594	2051
2595	2170				2595	2170
2596	1655				2596	1655
2597	0				2597	0
2598	0				2598	0
2655	0				2655	0
2656	0				2656	0
2657	0				2657	0
2663	0				2663	0
2664	0				2664	0
2665	0				2665	0
2671	0				2671	0
2672	0				2672	0
2673	2282				2673	2282
2737	0				2737	0
2738	0				2738	0
2739	0				2739	0
2740	0				2740	0
2741	0				2741	0
2742	0				2742	0
2743	0				2743	0
2744	0				2744	0
2745	0				2745	0
2746	0				2746	0
2747	0				2747	0
2748	0				2748	0
2749	0				2749	0
2750	0				2750	0
2751	0				2751	0
2752	0				2752	0
2753	0				2753	0
2754	0				2754	0
2755	0				2755	0
2756	0				2756	0
2757	0				2757	0
2758	0				2758	0
2759	0				2759	0
2760	0				2760	0
2761	0				2761	0
2762	0				2762	0
2763	0				2763	0
2764	0				2764	0
2765	0				2765	0
2766	0				2766	0
2767	0				2767	0
2768	0				2768	0
2769	0				2769	0
2770	0				2770	0
2771	0				2771	0
2772	2089				2772	2089
2773	0				2773	0
2774	2148				2774	2148
2775	2075				2775	2075
2776	0				2776	0
2777	0				2777	0
2778	0				2778	0
2779	0				2779	0
2780	0				2780	0
2781	1935				2781	1935
2782	1621				2782	1621
2783	1291				2783	1291
2784	521				2784	521
2785	0				2785	0
2786	0				2786	0
2787	2066				2787	2066
2788	1992				2788	1992
2789	1678				2789	1678
2790	1				2790	1
2791	1347				2791	1347
2792	2				2792	2
2793	0				2793	0
2794	2123				2794	2123
2795	2049				2795	2049
2796	1				2796	1
2880	0				2880	0
2881	0				2881	0
2882	0				2882	0
2888	0				2888	0
2889	0				2889	0
2890	0				2890	0
2896	0				2896	0
2897	0				2897	0
2898	0				2898	0
2937	0				2937	0
2938	0				2938	0
2939	0				2939	0
2940	0				2940	0
2941	0				2941	0
2942	0				2942	0
2943	0				2943	0
2944	0				2944	0
2945	0				2945	0
2946	0				2946	0
2947	0				2947	0
2948	0				2948	0
2949	0				2949	0
2950	0				2950	0
2951	0				2951	0
2952	0				2952	0
2953	0				2953	0
2954	0				2954	0
2955	0				2955	0
2956	0				2956	0
2957	0				2957	0
2958	0				2958	0
2959	0				2959	0
2960	0				2960	0
2961	0				2961	0
2962	0				2962	0
2963	0				2963	0
2964	0				2964	0
2965	0				2965	0
2966	0				2966	0
2967	0				2967	0
2968	0				2968	0
2969	0				2969	0
2970	0				2970	0
2971	0				2971	0
2972	1969				2972	1969
2973	0				2973	0
2974	1964				2974	1964
2975	1827				2975	1827
2976	0				2976	0
2977	0				2977	0
2978	0				2978	0
2979	0				2979	0
2980	0				2980	0
2981	2007				2981	2007
2982	1437				2982	1437
2983	1107				2983	1107
2984	593				2984	593
2985	0				2985	0
2986	0				2986	0
2987	0				2987	0
2988	1				2988	1
2989	1494				2989	1494
2990	1				2990	1
2991	1163				2991	1163
2992	1				2992	1
2993	0				2993	0
2994	0				2994	0
2995	0				2995	0
2996	1				2996	1
3105	0				3105	0
3106	0				3106	0
3107	0				3107	0
3113	0				3113	0
3114	0				3114	0
3115	0				3115	0
3121	0				3121	0
3122	0				3122	0
3123	0				3123	0
3205	0				3205	0
3206	0				3206	0
3207	0				3207	0
3213	0				3213	0
3214	0				3214	0
3215	0				3215	0
3221	0				3221	0
3222	0				3222	0
3223	0				3223	0
3255	0				3255	0
3256	0				3256	0
3257	0				3257	0
3263	0				3263	0
3264	0				3264	0
3265	0				3265	0
3271	0				3271	0
3272	0				3272	0
3273	0				3273	0
3330	0				3330	0
3331	0				3331	0
3332	0				3332	0
3537	0				3537	0
3538	0				3538	0
3539	0				3539	0
3540	0				3540	0
3541	0				3541	0
3542	0				3542	0
3543	0				3543	0
3544	0				3544	0
3545	0				3545	0
3546	0				3546	0
3547	0				3547	0
3548	0				3548	0
3549	0				3549	0
3550	0				3550	0
3551	0				3551	0
3552	0				3552	0
3553	0				3553	0
3554	0				3554	0
3555	0				3555	0
3556	0				3556	0
3557	0				3557	0
3558	0				3558	0
3559	0				3559	0
3560	0				3560	0
3561	0				3561	0
3562	0				3562	0
3563	0				3563	0
3564	0				3564	0
3565	0				3565	0
3566	0				3566	0
3567	0				3567	0
3568	0				3568	0
3569	0				3569	0
3570	0				3570	0
3571	0				3571	0
3572	0				3572	0
3573	0				3573	0
3574	0				3574	0
3575	0				3575	0
3576	0				3576	0
3577	0				3577	0
3578	0				3578	0
3579	0				3579	0
3580	0				3580	0
3581	0				3581	0
3582	1				3582	1
3583	1171				3583	1171
3584	0				3584	0
3585	0				3585	0
3586	0				3586	0
3587	0				3587	0
3588	1				3588	1
3589	1				3589	1
3590	1				3590	1
3591	1				3591	1
3592	1				3592	1
3593	0				3593	0
3594	0				3594	0
3595	0				3595	0
3596	1				3596	1
3837	0				3837	0
3838	0				3838	0
3839	0				3839	0
3840	0				3840	0
3841	0				3841	0
3842	0				3842	0
3843	0				3843	0
3844	0				3844	0
3845	0				3845	0
3846	0				3846	0
3847	0				3847	0
3848	0				3848	0
3849	0				3849	0
3850	0				3850	0
3851	0				3851	0
3852	0				3852	0
3853	0				3853	0
3854	0				3854	0
3855	0				3855	0
3856	0				3856	0
3857	0				3857	0
3858	0				3858	0
3859	0				3859	0
3860	0				3860	0
3861	0				3861	0
3862	0				3862	0
3863	0				3863	0
3864	0				3864	0
3865	0				3865	0
3866	0				3866	0
3867	0				3867	0
3868	0				3868	0
3869	0				3869	0
3870	0				3870	0
3871	0				3871	0
3872	0				3872	0
3873	0				3873	0
3874	0				3874	0
3875	0				3875	0
3876	0				3876	0
3877	0				3877	0
3878	0				3878	0
3879	0				3879	0
3880	0				3880	0
3881	0				3881	0
3882	2				3882	2
3883	0				3883	0
3884	0				3884	0
3885	0				3885	0
3886	0				3886	0
3887	0				3887	0
3888	1				3888	1
3889	0				3889	0
3890	1				3890	1
3891	2				3891	2
3892	1				3892	1
3893	0				3893	0
3894	0				3894	0
3895	1				3895	1
3896	1				3896	1
4137	0				4137	0
4138	0				4138	0
4139	0				4139	0
4140	0				4140	0
4141	0				4141	0
4142	0				4142	0
4143	0				4143	0
4144	0				4144	0
4145	0				4145	0
4146	0				4146	0
4147	0				4147	0
4148	0				4148	0
4149	0				4149	0
4150	0				4150	0
4151	0				4151	0
4152	0				4152	0
4153	0				4153	0
4154	0				4154	0
4155	0				4155	0
4156	0				4156	0
4157	0				4157	0
4158	0				4158	0
4159	0				4159	0
4160	0				4160	0
4161	0				4161	0
4162	0				4162	0
4163	0				4163	0
4164	0				4164	0
4165	0				4165	0
4166	0				4166	0
4167	0				4167	0
4168	0				4168	0
4169	0				4169	0
4170	0				4170	0
4171	0				4171	0
4172	0				4172	0
4173	0				4173	0
4174	0				4174	0
4175	0				4175	0
4176	0				4176	0
4177	0				4177	0
4178	0				4178	0
4179	0				4179	0
4180	0				4180	0
4181	0				4181	0
4182	1				4182	1
4183	0				4183	0
4184	0				4184	0
4185	0				4185	0
4186	0				4186	0
